"id","clust_id","clust_2","clust_3","clust_4","clust_5","clust_6","clust_7","clust_8","clust_9","clust_10","clust_11","clust_12","clust_13","clust_14","clust_15","clust_16","clust_17","clust_18","clust_19","clust_20"
"307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"308",2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"309",3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"395",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"396",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"397",6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"398",7,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"399",8,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"484",9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"485",10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"486",11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"487",12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"488",13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"489",14,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"490",15,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"491",16,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"573",17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"574",18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"575",19,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
"576",20,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
"577",21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"578",22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"579",23,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4
"580",24,1,1,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4
"581",25,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"582",26,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"583",27,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"662",28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"663",29,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
"664",30,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
"665",31,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
"666",32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"667",33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"668",34,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
