"id","clust_id","clust_2","clust_3","clust_4","clust_5","clust_6","clust_7","clust_8","clust_9","clust_10","clust_11","clust_12","clust_13","clust_14","clust_15","clust_16","clust_17","clust_18","clust_19","clust_20"
"307",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"308",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"309",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"395",4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"396",5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"397",6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"398",7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"399",8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"484",9,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"485",10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"486",11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"487",12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"488",13,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"489",14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"490",15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"491",16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"573",17,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"574",18,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"575",19,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"576",20,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"577",21,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"578",22,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"579",23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"580",24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"581",25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"582",26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"583",27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"662",28,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"663",29,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"664",30,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"665",31,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"666",32,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"667",33,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"668",34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"669",35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"670",36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"671",37,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4
"672",38,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4
"673",39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"751",40,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"752",41,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"753",42,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"754",43,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"755",44,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"756",45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"757",46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"758",47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"759",48,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4
"760",49,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4
"761",50,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4
"762",51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"763",52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"841",53,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"842",54,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
"843",55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"844",56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"845",57,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
